,tweet_id,source_x,date,time,rating_numerator,rating_denominator,name,dog_stages,jpg_url,predicted dog breed,degree of confidence,number of retweets,number of likes
1696,695074328191332352,Twitter for iPhone,2016-04-02,02:40:08,11,10,Lorenzo,pupper,https://pbs.twimg.com/media/CaVmajOWYAA1uNG.jpg,Shih-Tzu,0.5101060000000001,998,2620
1697,695095422348574720,Twitter for iPhone,2016-04-02,04:03:57,12,10,just,pupper,https://pbs.twimg.com/media/CaV5mRDXEAAR8iG.jpg,papillon,0.227784,552,2467
1698,759793422261743616,Twitter for iPhone,2016-31-07,16:50:42,12,10,Maggie,pupper,https://pbs.twimg.com/media/CotUFZEWcAA2Pku.jpg,golden_retriever,0.985876,1763,5583
1699,696713835009417216,Twitter for iPhone,2016-08-02,15:14:57,9,10,Trevith,pupper,https://pbs.twimg.com/media/Cas5h-wWcAA3nAc.jpg,Chesapeake_Bay_retriever,0.321589,588,2183
1701,756939218950160384,Twitter for iPhone,2016-23-07,19:49:07,12,10,Jax,pupper,https://pbs.twimg.com/media/CoEwMXeWEAAaIz5.jpg,golden_retriever,0.790371,1842,6223
1707,772193107915964416,Twitter for iPhone,2016-03-09,22:02:38,12,10,Willem,pupper,https://pbs.twimg.com/media/Crdhh_1XEAAHKHi.jpg,Pembroke,0.3679449999999999,1291,5683
1709,689905486972461056,Twitter for iPhone,2016-20-01,20:21:00,11,10,Gizmo,pupper,https://pbs.twimg.com/media/CZMJYCRVAAE35Wk.jpg,Pomeranian,0.943331,624,2263
1710,773985732834758656,Twitter for iPhone,2016-08-09,20:45:53,11,10,Winnie,pupper,https://pbs.twimg.com/media/Cr2_6R8WAAAUMtc.jpg,pug,0.10957,3587,10167
1712,672254177670729728,Twitter for iPhone,2015-03-12,03:21:00,11,10,Rolf,pupper,https://pbs.twimg.com/media/CVRTmz1WcAA4uMF.jpg,pug,0.979487,652,1277
1715,686377065986265092,Twitter for iPhone,2016-11-01,02:40:19,10,10,Birf,pupper,https://pbs.twimg.com/media/CYaAS2kUoAINkye.jpg,German_shepherd,0.830816,516,2052
1716,686618349602762752,Twitter for iPhone,2016-11-01,18:39:05,11,10,Olivia,pupper,https://pbs.twimg.com/media/CYdbvwjWcAEtjYu.jpg,Rottweiler,0.441331,1240,3417
1717,686683045143953408,Twitter for iPhone,2016-11-01,22:56:10,11,10,Mona,pupper,https://pbs.twimg.com/media/CYeWlh0WAAADhsj.jpg,Norwich_terrier,0.100499,735,2613
1721,687704180304273409,Twitter for iPhone,2016-14-01,18:33:48,9,10,Blakely,pupper,https://pbs.twimg.com/media/CYs3TKzUAAAF9A2.jpg,miniature_pinscher,0.956063,767,2245
1727,778027034220126208,Twitter for iPhone,2016-20-09,00:24:34,27,10,Sophie,pupper,https://pbs.twimg.com/media/Cswbc2yWcAAVsCJ.jpg,clumber,0.946718,1492,6197
1730,776477788987613185,Twitter for iPhone,2016-15-09,17:48:25,11,10,Huck,pupper,https://pbs.twimg.com/media/CsaaaaxWgAEfzM7.jpg,Labrador_retriever,0.8848389999999999,2561,8254
1731,689143371370250240,Twitter for iPhone,2016-18-01,17:52:38,10,10,Trip,pupper,https://pbs.twimg.com/media/CZBUO2UWsAAKehS.jpg,English_springer,0.3037809999999999,457,1869
1732,689623661272240129,Twitter for iPhone,2016-20-01,01:41:08,10,10,Lucy,pupper,https://pbs.twimg.com/media/CZIJD2SWIAMJgNI.jpg,toy_poodle,0.279604,581,2045
1733,685641971164143616,Twitter for iPhone,2016-09-01,01:59:19,7,10,Otis,pupper,https://pbs.twimg.com/media/CYPjvFqW8AAgiP2.jpg,Lakeland_terrier,0.253839,700,2696
1735,750868782890057730,Twitter for iPhone,2016-07-07,01:47:22,11,10,Milo,pupper,https://pbs.twimg.com/media/CmufLLsXYAAsU0r.jpg,toy_poodle,0.912648,1251,4466
1736,707315916783140866,Twitter for iPhone,2016-08-03,21:23:50,10,10,Finnegus,pupper,https://pbs.twimg.com/media/CdDkEkHWwAAAeUJ.jpg,Bernese_mountain_dog,0.979235,580,2287
1738,739606147276148736,Twitter for iPhone,2016-05-06,23:53:41,9,10,Benji,pupper,https://pbs.twimg.com/media/CkOb3FXW0AAUL_U.jpg,Blenheim_spaniel,0.933755,1495,4998
1739,736365877722001409,Twitter for iPhone,2016-28-05,01:18:00,11,10,Rory,pupper,https://pbs.twimg.com/media/CjgYyuvWkAAHU8g.jpg,toy_poodle,0.082606,1117,3683
1742,735137028879360001,Twitter for iPhone,2016-24-05,15:55:00,9,10,Buckley,pupper,https://pbs.twimg.com/media/CjO7OfeWgAAUQy-.jpg,Walker_hound,0.413535,885,2885
1744,730573383004487680,Twitter for iPhone,2016-12-05,01:40:42,10,10,Rooney,pupper,https://pbs.twimg.com/media/CiOEnI6WgAAmq4E.jpg,American_Staffordshire_terrier,0.810158,1918,4474
1745,711008018775851008,Twitter for iPhone,2016-19-03,01:54:56,11,10,Chuckles,pupper,https://pbs.twimg.com/media/Cd4CBQFW8AAY3ND.jpg,French_bulldog,0.731405,560,2749
1746,728035342121635841,Twitter for iPhone,2016-05-05,01:35:26,12,10,all,pupper,https://pbs.twimg.com/media/ChqARqmWsAEI6fB.jpg,Pomeranian,0.248664,1516,4168
1747,728015554473250816,Twitter for iPhone,2016-05-05,00:16:48,11,10,Rueben,pupper,https://pbs.twimg.com/media/ChpuRyvVAAARMoq.jpg,cocker_spaniel,0.384559,993,3796
1751,725786712245440512,Twitter for iPhone,2016-28-04,20:40:11,11,10,Lillie,pupper,https://pbs.twimg.com/media/ChKDKmIWIAIJP_e.jpg,chow,0.335761,1249,3854
1752,724405726123311104,Twitter for iPhone,2016-25-04,01:12:38,10,10,Ashleigh,pupper,https://pbs.twimg.com/media/Cg2bKLAWwAA0WEm.jpg,golden_retriever,0.240695,1515,4880
1753,724004602748780546,Twitter for iPhone,2016-23-04,22:38:43,11,10,Luther,pupper,https://pbs.twimg.com/media/CgwuWCeW4AAsgbD.jpg,pug,0.0188769,1395,3840
1754,721001180231503872,Twitter for iPhone,2016-15-04,15:44:11,11,10,Oliver,pupper,https://pbs.twimg.com/media/CgGCvxAUkAAx55r.jpg,Samoyed,0.950053,551,2350
1758,740676976021798912,Twitter for iPhone,2016-08-06,22:48:46,11,10,Baloo,pupper,https://pbs.twimg.com/media/Ckdpx5KWsAANF6b.jpg,Norwegian_elkhound,0.275225,6222,16853
1759,699801817392291840,Twitter for iPhone,2016-17-02,03:45:29,11,10,Cooper,pupper,https://pbs.twimg.com/media/CbYyCMcWIAAHHjF.jpg,golden_retriever,0.808978,851,2782
1760,742150209887731712,Twitter for iPhone,2016-13-06,00:22:53,8,10,Edmund,pupper,https://pbs.twimg.com/media/CkylrVWWsAAiXJE.jpg,French_bulldog,0.0714143999999999,1402,4721
